City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
265,Kavaratti,IN,10.5669,72.642,80.44,79,27,7.65,scattered clouds
266,Yantal,RU,56.8471,105.2542,20.57,88,100,14.56,overcast clouds
267,Saldanha,ZA,-33.0117,17.9442,60.85,92,100,11.61,light rain
268,Colac,AU,-38.3333,143.5833,63.16,39,79,7.14,broken clouds
269,Gravdal,NO,68.1214,13.5031,25.83,59,8,14.07,clear sky
270,Ambulu,ID,-8.345,113.6058,78.98,79,99,1.39,moderate rain
271,Nacogdoches,US,31.6002,-94.6335,75.06,78,20,3.44,few clouds
272,Kangaatsiaq,GL,68.3065,-53.4641,37.22,46,100,43.82,overcast clouds
273,Coffeyville,US,37.0373,-95.6164,62.46,42,90,10.36,overcast clouds
274,Aswan,EG,24.0934,32.907,67.24,23,0,5.12,clear sky
275,Soavinandriana,MG,-19.1667,46.7333,60.62,73,11,4.81,few clouds
276,Lasa,IT,46.6166,10.7002,34.54,96,100,3.56,light snow
277,Wonthaggi,AU,-38.6044,145.5913,63.43,47,46,5.66,scattered clouds
278,Ribnica,SI,45.7386,14.7275,43.29,100,100,1.39,overcast clouds
279,Mendoza,AR,-32.8908,-68.8272,65.73,77,40,4.61,scattered clouds
280,Omsukchan,RU,62.5333,155.8,-33.39,95,20,4.16,few clouds
281,Veraval,IN,20.9,70.3667,73.53,72,3,6.55,clear sky
282,Bubaque,GW,11.2833,-15.8333,81.43,74,57,14.88,broken clouds
283,Skjervoy,NO,70.0311,20.9714,22.98,62,1,13.06,clear sky
284,West Wendover,US,40.7391,-114.0733,43.81,57,1,3.44,clear sky
285,San Isidro,PE,-12.1167,-77.05,72.01,79,0,1.99,clear sky
286,Brownsville,US,25.9018,-97.4975,78.91,78,1,4.0,clear sky
287,Galesong,ID,-5.3166,119.3661,77.02,77,99,6.29,overcast clouds
288,Kuusamo,FI,65.9667,29.1833,-7.56,84,75,2.3,broken clouds
289,Trelew,AR,-43.249,-65.3051,72.19,36,1,25.05,clear sky
290,Omboue,GA,-1.5746,9.2618,78.1,90,100,6.98,overcast clouds
291,Markkleeberg,DE,51.2833,12.4,42.19,86,75,1.99,broken clouds
292,Prince Rupert,CA,54.3161,-130.3201,37.09,77,40,3.44,scattered clouds
293,Port Keats,AU,-14.25,129.55,89.38,66,84,8.95,broken clouds
294,Mastic Beach,US,40.7668,-72.8521,45.99,69,1,0.0,clear sky
295,Tessalit,ML,20.1986,1.0114,64.81,17,71,8.77,broken clouds
296,Seoul,KR,37.5683,126.9778,29.64,74,0,1.14,clear sky
